,暧昧对象之间,暗恋对象-暗恋者,报案人-受害者,报案人-罪犯,文选(诗集)的编者-作者,表兄弟姐妹之间,厨子-食客,敌人之间,施恩者-受恩者,青梅竹马之间,情敌之间,人神之间,泛泛之交之间,店主-顾客,官场的上下级之间,生意合伙人之间,生意竞争对手之间,师傅-学徒,掌柜-客人,首领-反贼,叔侄,双胞胎之间,政治谈判中对立的双方,堂兄弟姐妹之间,同父异母(或同母异父)的子女之间,继子女之间,同僚之间,同窗之间,搭讪的人-被搭讪的人,刑案中的施害者-受害者,刑案中的受害者-旁观（目击）者,房东-租户,夫妻之间,伙计-顾客,父母-子女,义父母-义子女,婆婆-儿媳,主人-家丁,店主-伙计,官员-行贿者,状元-榜眼-探花,绿林好汉的头领-属下(喽啰),继父母-子女,继祖父母-继孙,养父母-子女,师生之间,家庭私塾教师-学生,小人之交,佛教徒之间,发小之间,土籍人士-客籍人士,外公外婆-外孙/外孙女,门当户对的订婚男女之间,同门师兄弟之间,学府书院的负责人与教师之间,同父同母的子女之间,戏班-剧作者,戏子-观众,音乐曲艺人-听众,祖孙之间,大夫-病人,姨父姨妈-侄子侄女,行侠仗义之人-受助者,嫖客-妓女,掌柜-店主,掌柜-伙计,捐助者-受惠者,将领-士兵,考官-考生,老师-家长,同乡之间,邻里之间,旅途同行人之间,卖家-买家,路人之间,狐朋狗友之间,普通朋友之间,故旧朋友之间,挚友之间,知己之间,乞丐-路人,前任官员-现任官员,牢头-囚犯,原告-被告,妻子和外妇（非妾）之间,丈夫-外妇,远亲之间,岳父岳母-女婿,同袍（战友）之间,官民之间,敌对朋党之间,同盟朋党之间,掮客-客户,忠臣-逆贼,主人-客人,主人-奴婢,奶妈-家长,奶妈-小孩,正职-副职,教首(教主)-教徒,祖先-后代,保长(坊长)-居民,远房表兄弟姐妹之间,君臣之间,债主-欠债人,亲家之间,讼师(状师)-司法人员,讼师(状师)-委托人,捕快-百姓,嫌犯-捕快,罪犯-人质,罪犯-被害人亲属,罪犯-旁观者,小偷-失主,罪犯-受害人,司法人员-监察人员,犯罪同伙之间,赌徒之间,作家-读者,作家-评论家
房东-租户,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
夫妻之间,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
伙计-顾客,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
父母-子女,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
义父母-义子女,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
婆婆-儿媳,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
主人-家丁,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
店主-伙计,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
官员-行贿者,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
状元-榜眼-探花,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
绿林好汉的头领-属下(喽啰),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
继父母-子女,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
继祖父母-继孙,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
养父母-子女,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
师生之间,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
家庭私塾教师-学生,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
小人之交,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0
佛教徒之间,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
发小之间,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
土籍人士-客籍人士,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0
外公外婆-外孙/外孙女,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
