,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
狐朋狗友之间,"[45, 92, 54, 33, 87, 100, 86, 100, 55]","[90, 100, 96, 91, 97, 73, 84, 100, 100]","[0, 2, 2, 2, 0, 20, 2, 0, 6]","[80, 69, 65, 91, 65, 89, 7, 0, 58]","[77, 60, 10, 1, 79, 74, 44, 100, 49]","[58, 13, 28, 75, 1, 17, 0, 0, 1]","[75, 66, 98, 100, 100, 100, 89, 100, 2]","[33, 82, 6, 3, 64, 100, 82, 0, 94]","[19, 73, 26, 39, 54, 51, 53, 0, 96]","[2, 7, 24, 86, 57, 100, 22, 73, 11]","[4, 15, 32, 52, 10, 0, 6, 0, 8]","[6, 2, 3, 0, 6, 0, 2, 26, 0]","[34, 4, 3, 73, 80, 0, 27, 50, 16]","[31, 13, 14, 76, 66, 100, 65, 74, 49]","[87, 19, 3, 80, 66, 68, 77, 95, 12]","[64, 80, 72, 56, 9, 100, 23, 56, 57]","[70, 14, 27, 53, 64, 100, 51, 65, 0]","[10, 3, 2, 0, 13, 0, 20, 0, 0]","[30, 33, 84, 1, 19, 35, 75, 22, 5]","[73, 75, 67, 76, 1, 95, 33, 73, 91]","[78, 72, 72, 6, 14, 0, 86, 15, 15]","[60, 80, 56, 25, 32, 86, 94, 42, 13]","[64, 70, 18, 97, 6, 8, 0, 92, 92]","[87, 60, 74, 65, 32, 87, 100, 50, 85]","[3, 6, 0, 1, 1, 0, 0, 53, 0]","[69, 77, 76, 78, 19, 51, 100, 53, 97]","[16, 65, 100, 81, 12, 84, 0, 3, 88]","[87, 80, 91, 90, 93, 66, 95, 74, 88]","[14, 40, 5, 6, 0, 38, 0, 42, 100]","[82, 74, 90, 24, 12, 69, 52, 37, 65]","[4, 16, 71, 43, 1, 46, 54, 12, 0]","[96, 76, 88, 86, 59, 38, 100, 4, 83]","[40, 13, 11, 1, 0, 4, 58, 1, 0]","[3, 16, 0, 1, 0, 5, 0, 11, 5]","[16, 9, 0, 5, 0, 1, 51, 23, 0]"
同僚之间,"[67, 86, 3, 81, 24, 47, 53, 46, 75]","[93, 100, 27, 78, 97, 85, 22, 100, 60]","[100, 6, 3, 65, 91, 73, 64, 100, 13]","[77, 40, 3, 30, 0, 93, 49, 0, 85]","[56, 10, 2, 60, 4, 100, 2, 100, 71]","[4, 14, 36, 60, 0, 27, 0, 0, 3]","[4, 80, 2, 12, 100, 100, 3, 92, 100]","[100, 66, 6, 95, 54, 100, 79, 100, 92]","[55, 75, 35, 81, 21, 53, 52, 0, 72]","[1, 50, 60, 10, 77, 100, 17, 0, 9]","[1, 2, 22, 53, 10, 100, 2, 0, 9]","[82, 67, 66, 100, 64, 100, 28, 100, 94]","[36, 57, 78, 86, 76, 100, 31, 82, 91]","[67, 10, 54, 71, 86, 100, 89, 49, 74]","[3, 3, 51, 8, 80, 0, 37, 37, 15]","[89, 96, 73, 99, 80, 100, 95, 64, 100]","[66, 2, 80, 52, 71, 0, 26, 1, 0]","[23, 3, 2, 0, 14, 0, 50, 0, 0]","[36, 77, 75, 2, 18, 35, 82, 61, 91]","[83, 85, 70, 10, 91, 95, 72, 70, 52]","[38, 70, 66, 2, 22, 0, 0, 59, 63]","[2, 61, 0, 12, 15, 0, 53, 67, 11]","[91, 69, 94, 97, 65, 72, 100, 56, 87]","[55, 82, 79, 16, 74, 70, 48, 72, 86]","[3, 0, 0, 2, 0, 0, 0, 6, 0]","[74, 94, 56, 79, 86, 51, 40, 73, 51]","[98, 76, 100, 97, 72, 100, 0, 86, 100]","[58, 83, 58, 92, 100, 66, 45, 82, 72]","[53, 92, 87, 91, 100, 100, 100, 37, 100]","[71, 23, 77, 16, 0, 34, 0, 78, 1]","[14, 33, 72, 92, 30, 24, 82, 28, 12]","[79, 78, 85, 3, 100, 100, 62, 82, 100]","[96, 88, 100, 52, 100, 100, 100, 26, 100]","[86, 91, 97, 93, 51, 94, 60, 50, 52]","[0, 9, 0, 3, 0, 3, 10, 5, 0]"
敌人之间,"[4, 3, 3, 1, 2, 0, 1, 0, 3]","[76, 95, 96, 89, 83, 11, 22, 100, 100]","[3, 21, 1, 87, 51, 100, 3, 100, 6]","[81, 66, 96, 66, 50, 68, 29, 0, 83]","[74, 49, 2, 86, 63, 25, 3, 100, 85]","[100, 13, 97, 100, 90, 100, 56, 100, 82]","[48, 65, 83, 26, 0, 0, 4, 0, 100]","[79, 86, 5, 26, 50, 7, 52, 0, 56]","[0, 79, 4, 4, 5, 13, 4, 0, 4]","[5, 5, 24, 10, 66, 0, 24, 84, 4]","[4, 3, 5, 0, 0, 0, 2, 0, 0]","[21, 3, 64, 96, 9, 100, 66, 85, 74]","[12, 35, 77, 76, 79, 0, 48, 80, 8]","[2, 1, 2, 8, 0, 0, 2, 0, 5]","[24, 83, 53, 27, 9, 0, 13, 49, 10]","[60, 2, 3, 0, 15, 0, 2, 0, 45]","[4, 2, 2, 5, 1, 0, 2, 0, 0]","[37, 3, 2, 0, 51, 0, 51, 0, 0]","[3, 9, 26, 2, 2, 59, 100, 46, 0]","[33, 50, 94, 2, 97, 64, 100, 86, 96]","[46, 13, 12, 2, 0, 0, 0, 3, 0]","[8, 10, 0, 1, 1, 0, 0, 3, 4]","[97, 87, 100, 95, 99, 93, 100, 100, 98]","[1, 10, 0, 1, 1, 0, 0, 0, 0]","[1, 3, 0, 2, 1, 0, 0, 4, 0]","[0, 4, 0, 3, 2, 0, 0, 2, 0]","[3, 43, 100, 2, 1, 0, 0, 2, 13]","[65, 63, 12, 1, 90, 52, 3, 2, 3]","[67, 81, 18, 95, 97, 78, 100, 24, 100]","[86, 59, 25, 2, 0, 72, 0, 2, 47]","[96, 100, 100, 100, 100, 100, 100, 100, 100]","[38, 14, 19, 2, 0, 2, 100, 1, 0]","[67, 12, 12, 2, 81, 28, 0, 3, 0]","[18, 71, 26, 3, 0, 48, 0, 2, 49]","[32, 8, 0, 4, 0, 3, 52, 6, 0]"
泛泛之交之间,"[66, 79, 70, 49, 61, 55, 65, 64]","[55, 14, 78, 96, 81, 60, 89, 92]","[40, 80, 39, 18, 18, 8, 27, 10]","[61, 56, 27, 57, 24, 87, 22, 34]","[2, 24, 15, 20, 24, 8, 24, 15]","[21, 5, 0, 26, 16, 5, 25, 17]","[25, 54, 48, 22, 49, 90, 18, 60]","[50, 5, 50, 42, 20, 11, 17, 56]","[55, 9, 49, 53, 49, 20, 46, 10]","[16, 26, 0, 48, 2, 46, 9, 4]","[22, 28, 2, 12, 42, 26, 52, 8]","[15, 19, 4, 22, 0, 17, 5, 8]","[40, 19, 15, 56, 14, 51, 47, 23]","[18, 47, 15, 41, 48, 51, 36, 23]","[18, 48, 9, 58, 2, 59, 50, 13]","[16, 47, 62, 13, 53, 84, 58, 13]","[9, 29, 1, 31, 57, 50, 12, 32]","[21, 32, 7, 11, 30, 50, 39, 5]","[15, 57, 25, 22, 2, 10, 7, 20]","[10, 38, 47, 33, 12, 42, 23, 22]","[19, 7, 19, 30, 4, 8, 32, 15]","[24, 2, 30, 34, 2, 10, 16, 22]","[11, 66, 33, 52, 80, 71, 4, 13]","[29, 35, 25, 57, 2, 26, 18, 18]","[2, 1, 25, 0, 8, 12, 8, 4]","[14, 56, 50, 50, 33, 8, 51, 14]","[12, 50, 20, 98, 0, 10, 24, 50]","[13, 47, 15, 64, 2, 20, 78, 11]","[77, 61, 28, 78, 70, 75, 54, 49]","[15, 52, 22, 36, 20, 16, 49, 15]","[52, 47, 24, 20, 2, 29, 16, 7]","[90, 47, 38, 84, 91, 36, 73, 11]","[4, 48, 9, 0, 2, 33, 19, 9]","[11, 66, 53, 48, 75, 55, 39, 11]","[9, 62, 13, 43, 2, 20, 0, 53]"
青梅竹马之间,"[95, 97, 100, 96, 76, 86, 79, 88]","[67, 100, 100, 96, 82, 58, 87, 97]","[2, 32, 0, 6, 82, 68, 30, 9]","[7, 13, 15, 13, 25, 67, 11, 19]","[7, 0, 16, 6, 19, 27, 17, 8]","[20, 5, 0, 13, 11, 8, 21, 15]","[98, 100, 99, 50, 74, 88, 47, 89]","[92, 93, 82, 86, 72, 79, 41, 91]","[94, 76, 100, 86, 83, 60, 81, 100]","[31, 76, 100, 95, 80, 85, 83, 43]","[17, 67, 0, 95, 84, 82, 64, 36]","[16, 19, 38, 21, 0, 0, 2, 59]","[27, 71, 100, 93, 81, 100, 36, 58]","[21, 67, 99, 93, 77, 88, 66, 63]","[17, 72, 97, 95, 91, 100, 74, 83]","[23, 77, 88, 12, 85, 0, 15, 15]","[46, 77, 87, 95, 86, 90, 69, 72]","[22, 17, 0, 5, 2, 0, 0, 8]","[79, 83, 41, 86, 67, 76, 63, 94]","[75, 90, 51, 67, 63, 58, 53, 97]","[76, 90, 54, 84, 68, 66, 40, 95]","[71, 83, 61, 60, 65, 75, 45, 96]","[10, 23, 24, 13, 20, 5, 68, 3]","[32, 79, 51, 86, 72, 63, 58, 94]","[47, 90, 13, 23, 27, 71, 59, 91]","[61, 85, 51, 71, 80, 52, 21, 11]","[7, 2, 16, 7, 0, 49, 1, 3]","[83, 93, 58, 100, 85, 72, 87, 95]","[17, 0, 16, 33, 88, 77, 31, 67]","[14, 2, 22, 0, 8, 16, 5, 5]","[11, 2, 23, 12, 9, 29, 14, 5]","[86, 95, 52, 100, 65, 44, 5, 95]","[9, 8, 22, 0, 2, 47, 0, 2]","[53, 84, 55, 53, 93, 56, 69, 96]","[9, 0, 15, 0, 2, 25, 0, 4]"
掮客-客户,"[74, 100, 79, 73, 70, 59, 71, 34]","[57, 87, 27, 69, 19, 14, 72, 18]","[79, 77, 100, 77, 71, 55, 64, 92]","[99, 100, 100, 89, 71, 93, 95, 17]","[91, 100, 100, 95, 72, 38, 76, 89]","[23, 7, 1, 39, 71, 81, 23, 16]","[84, 100, 0, 100, 68, 90, 60, 68]","[48, 33, 7, 9, 70, 52, 80, 26]","[13, 0, 0, 7, 24, 85, 86, 7]","[67, 24, 0, 18, 7, 44, 0, 39]","[92, 75, 100, 100, 90, 100, 100, 12]","[74, 64, 71, 74, 11, 0, 61, 5]","[33, 29, 68, 19, 15, 44, 2, 46]","[78, 67, 66, 32, 69, 44, 41, 36]","[15, 21, 0, 8, 15, 0, 4, 10]","[79, 73, 100, 82, 91, 86, 92, 59]","[15, 31, 2, 11, 6, 0, 13, 31]","[18, 83, 0, 11, 35, 51, 51, 8]","[57, 48, 74, 77, 67, 30, 44, 14]","[70, 85, 85, 53, 80, 51, 26, 75]","[32, 27, 14, 0, 35, 0, 27, 7]","[47, 8, 46, 0, 1, 0, 20, 9]","[67, 93, 72, 90, 100, 93, 67, 93]","[68, 78, 89, 61, 100, 26, 73, 86]","[12, 11, 16, 0, 2, 12, 17, 3]","[78, 98, 58, 55, 65, 17, 49, 80]","[86, 70, 16, 99, 3, 52, 4, 51]","[85, 54, 19, 83, 64, 66, 76, 53]","[75, 62, 80, 88, 92, 85, 45, 59]","[84, 78, 70, 100, 94, 88, 95, 85]","[2, 19, 26, 51, 43, 34, 41, 11]","[52, 61, 48, 76, 98, 81, 87, 91]","[78, 85, 81, 86, 99, 44, 100, 91]","[25, 75, 49, 67, 90, 72, 39, 16]","[7, 2, 18, 0, 2, 16, 0, 50]"
普通朋友之间,"[82, 80, 81, 68, 67, 67, 79, 68]","[25, 63, 86, 82, 83, 62, 88, 81]","[5, 18, 23, 6, 28, 42, 14, 17]","[10, 82, 19, 50, 33, 96, 18, 55]","[7, 18, 20, 11, 29, 50, 25, 24]","[11, 7, 0, 62, 16, 8, 17, 19]","[90, 100, 80, 27, 78, 39, 23, 56]","[57, 65, 60, 49, 35, 72, 20, 33]","[78, 16, 78, 48, 75, 46, 22, 10]","[29, 48, 11, 13, 5, 69, 17, 35]","[16, 69, 21, 38, 80, 64, 56, 9]","[21, 17, 45, 19, 23, 9, 10, 46]","[18, 68, 66, 53, 87, 59, 46, 59]","[28, 66, 66, 41, 76, 75, 44, 36]","[24, 69, 75, 53, 86, 86, 51, 37]","[28, 77, 73, 16, 65, 50, 51, 9]","[18, 63, 61, 23, 73, 72, 50, 35]","[33, 28, 2, 27, 2, 19, 34, 16]","[25, 68, 22, 69, 69, 10, 44, 22]","[17, 54, 52, 50, 40, 38, 47, 21]","[60, 71, 16, 73, 32, 8, 51, 8]","[58, 73, 49, 79, 16, 31, 28, 23]","[11, 18, 21, 24, 67, 51, 78, 12]","[70, 69, 36, 72, 26, 27, 37, 14]","[10, 20, 27, 0, 2, 42, 13, 3]","[83, 63, 58, 39, 41, 26, 32, 15]","[67, 60, 15, 87, 2, 11, 14, 48]","[73, 77, 52, 81, 2, 22, 60, 8]","[41, 54, 19, 54, 89, 79, 62, 54]","[23, 49, 24, 12, 34, 34, 49, 15]","[18, 27, 28, 23, 12, 32, 18, 10]","[91, 87, 36, 79, 71, 47, 57, 17]","[9, 38, 87, 0, 2, 21, 15, 7]","[54, 75, 59, 65, 83, 60, 49, 8]","[2, 53, 13, 9, 2, 20, 0, 50]"
故旧朋友之间,"[94, 100, 99, 79, 59, 76, 78, 86]","[80, 100, 100, 97, 82, 62, 87, 80]","[6, 37, 0, 9, 24, 39, 36, 11]","[2, 0, 16, 6, 23, 31, 45, 56]","[18, 0, 38, 6, 25, 57, 20, 42]","[10, 5, 0, 95, 14, 8, 13, 21]","[80, 100, 99, 70, 68, 43, 71, 67]","[93, 100, 95, 72, 20, 47, 53, 72]","[94, 94, 99, 80, 75, 63, 23, 34]","[33, 25, 94, 76, 59, 95, 83, 81]","[18, 61, 1, 86, 86, 72, 73, 37]","[18, 23, 70, 22, 2, 9, 20, 61]","[91, 73, 100, 87, 86, 100, 62, 75]","[48, 56, 95, 64, 91, 100, 82, 73]","[23, 71, 90, 75, 73, 99, 81, 57]","[61, 78, 99, 11, 82, 14, 22, 41]","[61, 66, 82, 31, 85, 93, 83, 81]","[22, 17, 14, 13, 9, 8, 33, 14]","[78, 86, 38, 91, 100, 66, 61, 84]","[17, 85, 51, 67, 60, 73, 35, 82]","[74, 74, 62, 97, 84, 65, 51, 75]","[50, 86, 83, 93, 56, 66, 48, 75]","[14, 21, 29, 17, 33, 13, 58, 11]","[71, 84, 68, 95, 84, 62, 79, 75]","[12, 25, 15, 0, 2, 63, 19, 5]","[74, 86, 57, 65, 87, 83, 44, 6]","[52, 73, 32, 65, 17, 51, 9, 53]","[26, 76, 66, 76, 12, 53, 85, 72]","[14, 0, 21, 33, 90, 36, 32, 13]","[12, 2, 22, 0, 8, 16, 36, 10]","[12, 22, 18, 13, 6, 39, 2, 5]","[86, 94, 32, 100, 83, 43, 59, 68]","[6, 9, 16, 0, 2, 23, 7, 11]","[62, 92, 59, 92, 95, 56, 65, 83]","[2, 55, 17, 15, 2, 27, 0, 53]"
婆婆-儿媳,"[42, 60, 49, 66, 40, 91, 36, 23]","[7, 0, 0, 25, 22, 5, 22, 12]","[2, 100, 19, 5, 73, 95, 61, 92]","[84, 6, 49, 12, 51, 89, 88, 78]","[15, 4, 0, 3, 51, 61, 43, 10]","[67, 71, 49, 71, 69, 53, 19, 42]","[59, 95, 49, 100, 17, 56, 74, 56]","[84, 83, 85, 100, 56, 74, 91, 92]","[45, 14, 58, 28, 51, 39, 88, 92]","[64, 79, 100, 93, 68, 70, 90, 56]","[80, 67, 64, 73, 63, 85, 57, 9]","[77, 49, 44, 23, 61, 9, 8, 81]","[97, 76, 100, 82, 92, 100, 100, 63]","[20, 21, 74, 30, 56, 75, 43, 48]","[21, 64, 70, 15, 36, 81, 46, 52]","[57, 48, 84, 8, 68, 0, 45, 2]","[51, 57, 39, 55, 37, 68, 55, 29]","[81, 80, 100, 97, 95, 100, 100, 79]","[54, 56, 78, 52, 74, 25, 42, 67]","[19, 78, 77, 72, 74, 44, 15, 83]","[52, 62, 51, 55, 65, 23, 66, 70]","[55, 73, 44, 58, 42, 41, 36, 17]","[19, 44, 39, 22, 67, 38, 80, 73]","[70, 55, 32, 93, 63, 18, 56, 69]","[77, 69, 21, 42, 86, 0, 15, 4]","[68, 79, 54, 91, 71, 44, 41, 11]","[13, 0, 7, 0, 4, 0, 6, 3]","[82, 100, 74, 100, 97, 91, 93, 87]","[74, 0, 23, 13, 100, 88, 6, 82]","[54, 39, 69, 0, 2, 22, 2, 13]","[51, 62, 67, 46, 64, 42, 49, 86]","[17, 7, 38, 0, 8, 58, 40, 12]","[5, 27, 13, 0, 2, 82, 0, 4]","[70, 80, 23, 76, 32, 50, 59, 54]","[98, 100, 91, 100, 100, 88, 100, 96]"
行侠仗义之人-受助者,"[97, 100, 100, 100, 75, 82, 63, 79]","[34, 92, 43, 90, 86, 45, 93, 26]","[17, 2, 18, 5, 16, 63, 29, 19]","[6, 71, 63, 4, 28, 84, 91, 83]","[7, 95, 64, 4, 50, 6, 31, 10]","[26, 6, 0, 14, 11, 4, 50, 13]","[92, 100, 71, 25, 74, 91, 35, 67]","[79, 22, 14, 12, 21, 40, 30, 17]","[82, 91, 100, 71, 78, 82, 19, 98]","[21, 81, 0, 13, 10, 54, 71, 3]","[16, 74, 22, 89, 80, 100, 95, 43]","[65, 63, 18, 15, 13, 52, 3, 36]","[15, 17, 17, 23, 17, 27, 2, 4]","[37, 62, 73, 81, 82, 87, 64, 44]","[21, 69, 18, 90, 36, 100, 65, 17]","[37, 19, 26, 8, 52, 0, 0, 18]","[15, 65, 38, 59, 70, 75, 74, 6]","[38, 53, 0, 15, 2, 50, 51, 6]","[80, 55, 61, 64, 36, 21, 37, 13]","[80, 45, 86, 43, 68, 14, 20, 62]","[17, 63, 20, 31, 27, 13, 52, 19]","[7, 50, 65, 68, 25, 41, 19, 83]","[9, 32, 29, 21, 28, 16, 60, 9]","[69, 32, 51, 78, 19, 19, 51, 67]","[46, 12, 18, 0, 2, 62, 17, 4]","[77, 72, 58, 9, 72, 14, 15, 6]","[15, 62, 22, 93, 21, 40, 35, 51]","[86, 56, 17, 100, 26, 76, 92, 15]","[15, 38, 80, 41, 64, 69, 63, 9]","[8, 44, 16, 80, 70, 26, 24, 65]","[19, 11, 10, 13, 2, 27, 2, 7]","[84, 47, 49, 87, 18, 69, 42, 6]","[11, 32, 11, 0, 2, 53, 12, 5]","[86, 92, 51, 85, 92, 60, 100, 96]","[2, 49, 14, 24, 2, 34, 0, 48]"
官民之间,"[49, 66, 60, 71, 49, 16, 41, 54]","[2, 0, 0, 11, 20, 1, 23, 11]","[81, 100, 100, 15, 72, 46, 86, 89]","[76, 12, 48, 33, 73, 76, 82, 41]","[49, 22, 26, 19, 74, 66, 71, 29]","[47, 52, 51, 69, 69, 58, 28, 73]","[22, 95, 21, 92, 47, 29, 85, 34]","[24, 34, 5, 28, 56, 9, 88, 24]","[48, 4, 50, 36, 19, 6, 83, 18]","[61, 27, 0, 15, 2, 0, 0, 1]","[86, 69, 20, 28, 64, 66, 88, 26]","[83, 83, 100, 91, 97, 100, 81, 1]","[77, 68, 97, 87, 63, 60, 23, 9]","[30, 37, 69, 24, 47, 42, 40, 7]","[87, 22, 3, 20, 49, 12, 4, 0]","[79, 77, 87, 60, 51, 65, 63, 7]","[94, 49, 11, 29, 3, 65, 46, 12]","[81, 85, 0, 25, 14, 50, 24, 5]","[59, 61, 69, 22, 91, 45, 28, 17]","[25, 54, 81, 78, 58, 30, 25, 18]","[64, 21, 48, 27, 71, 15, 58, 7]","[49, 8, 38, 54, 20, 15, 7, 16]","[54, 70, 72, 68, 77, 69, 58, 83]","[29, 71, 78, 53, 66, 16, 29, 31]","[1, 9, 23, 0, 7, 42, 11, 16]","[52, 44, 61, 18, 64, 23, 69, 50]","[9, 61, 17, 88, 6, 39, 3, 52]","[81, 72, 49, 39, 77, 42, 76, 10]","[77, 59, 91, 100, 92, 77, 82, 78]","[72, 68, 81, 35, 72, 39, 66, 51]","[52, 62, 27, 61, 84, 70, 39, 49]","[15, 64, 34, 6, 3, 75, 42, 15]","[79, 87, 57, 100, 94, 82, 100, 11]","[55, 87, 55, 62, 93, 57, 50, 21]","[2, 0, 9, 0, 2, 22, 0, 50]"
父母-子女,"[92, 100, 99, 95, 75, 100, 78, 89]","[24, 0, 0, 11, 88, 0, 20, 14]","[2, 84, 0, 7, 26, 28, 44, 12]","[51, 0, 16, 1, 19, 94, 78, 84]","[15, 2, 79, 3, 19, 54, 19, 10]","[40, 7, 11, 58, 14, 50, 24, 15]","[97, 100, 91, 100, 70, 85, 59, 93]","[98, 100, 99, 100, 86, 86, 85, 94]","[94, 93, 100, 92, 82, 61, 18, 95]","[64, 78, 100, 98, 54, 99, 95, 100]","[80, 71, 0, 96, 99, 100, 100, 17]","[75, 69, 100, 24, 79, 100, 50, 59]","[91, 77, 99, 96, 96, 99, 100, 88]","[82, 76, 96, 99, 91, 99, 88, 87]","[47, 71, 100, 94, 89, 100, 100, 70]","[53, 79, 98, 13, 93, 0, 0, 19]","[93, 83, 100, 96, 85, 100, 100, 96]","[65, 80, 100, 99, 79, 100, 100, 98]","[89, 99, 81, 100, 100, 100, 81, 96]","[92, 86, 48, 84, 34, 91, 26, 95]","[84, 88, 91, 100, 76, 91, 84, 97]","[87, 84, 74, 84, 73, 93, 48, 97]","[4, 17, 22, 1, 37, 1, 68, 5]","[80, 99, 69, 96, 78, 90, 66, 94]","[75, 100, 18, 0, 100, 0, 10, 94]","[81, 94, 52, 100, 100, 89, 47, 6]","[10, 2, 19, 49, 2, 9, 9, 49]","[96, 98, 75, 100, 96, 70, 94, 97]","[81, 2, 26, 11, 100, 85, 45, 92]","[15, 11, 16, 0, 2, 20, 15, 5]","[33, 15, 20, 15, 11, 33, 13, 5]","[17, 2, 28, 0, 2, 53, 25, 17]","[7, 10, 19, 0, 2, 58, 0, 3]","[86, 100, 52, 100, 100, 59, 100, 93]","[8, 23, 14, 49, 2, 16, 0, 50]"
正职-副职,"[52, 100, 60, 73, 50, 29, 44, 68]","[14, 0, 0, 14, 22, 0, 25, 12]","[73, 100, 100, 59, 82, 71, 77, 93]","[93, 33, 1, 5, 24, 88, 92, 25]","[10, 10, 0, 13, 58, 51, 40, 19]","[66, 35, 18, 36, 47, 76, 30, 47]","[55, 100, 0, 100, 61, 3, 70, 58]","[53, 66, 49, 86, 64, 54, 80, 87]","[44, 16, 22, 54, 19, 25, 82, 11]","[66, 28, 86, 20, 13, 63, 0, 0]","[92, 71, 57, 95, 53, 78, 81, 11]","[78, 20, 29, 78, 52, 89, 70, 50]","[87, 60, 81, 77, 39, 58, 16, 16]","[33, 55, 75, 72, 46, 69, 64, 17]","[21, 22, 2, 19, 6, 0, 4, 4]","[28, 71, 88, 83, 59, 70, 80, 54]","[7, 32, 9, 21, 10, 11, 6, 17]","[78, 79, 7, 92, 34, 83, 41, 8]","[60, 27, 43, 54, 72, 47, 42, 22]","[73, 69, 80, 84, 74, 65, 42, 85]","[64, 32, 21, 15, 13, 4, 61, 9]","[31, 2, 34, 23, 43, 2, 15, 16]","[67, 87, 71, 83, 68, 70, 75, 90]","[78, 70, 74, 72, 83, 72, 56, 76]","[10, 2, 13, 0, 4, 0, 9, 4]","[65, 82, 53, 66, 71, 60, 65, 84]","[90, 99, 49, 98, 73, 80, 42, 52]","[85, 95, 49, 100, 86, 70, 96, 78]","[74, 99, 55, 73, 100, 89, 68, 90]","[72, 58, 79, 28, 67, 59, 76, 90]","[34, 47, 62, 45, 37, 25, 24, 15]","[17, 65, 51, 66, 3, 73, 44, 13]","[76, 100, 87, 100, 93, 47, 100, 91]","[52, 80, 51, 61, 90, 63, 51, 73]","[9, 0, 11, 9, 2, 56, 0, 51]"
掌柜-伙计,"[59, 84, 79, 74, 71, 50, 69, 70]","[35, 0, 0, 14, 22, 0, 19, 17]","[82, 34, 47, 44, 79, 49, 88, 92]","[87, 81, 100, 84, 70, 64, 88, 78]","[95, 67, 99, 94, 76, 65, 71, 40]","[60, 27, 23, 51, 68, 92, 28, 62]","[38, 100, 0, 100, 48, 24, 62, 75]","[93, 84, 71, 88, 74, 25, 95, 85]","[29, 0, 0, 4, 18, 58, 76, 9]","[61, 24, 10, 26, 29, 45, 23, 6]","[87, 70, 100, 89, 79, 100, 100, 71]","[48, 17, 88, 67, 5, 0, 32, 9]","[30, 46, 84, 50, 62, 57, 22, 5]","[21, 70, 79, 81, 50, 61, 43, 10]","[81, 26, 9, 10, 5, 12, 5, 5]","[53, 62, 84, 84, 57, 99, 89, 65]","[11, 28, 17, 27, 32, 10, 19, 3]","[41, 76, 70, 93, 69, 82, 62, 44]","[66, 73, 43, 14, 72, 16, 25, 17]","[78, 84, 88, 89, 71, 63, 16, 89]","[58, 72, 16, 36, 15, 2, 53, 11]","[64, 41, 56, 10, 8, 3, 16, 16]","[58, 89, 55, 67, 65, 73, 67, 83]","[39, 88, 78, 61, 63, 6, 85, 83]","[11, 6, 13, 0, 2, 30, 22, 4]","[72, 92, 55, 54, 76, 43, 41, 88]","[86, 81, 48, 100, 14, 62, 47, 81]","[86, 92, 54, 100, 87, 76, 83, 84]","[81, 89, 90, 86, 93, 47, 72, 95]","[80, 98, 77, 100, 78, 88, 93, 85]","[17, 40, 25, 44, 1, 37, 39, 13]","[12, 6, 32, 0, 6, 72, 42, 11]","[93, 80, 75, 100, 95, 40, 100, 87]","[51, 87, 57, 57, 84, 55, 50, 66]","[8, 14, 18, 0, 2, 70, 0, 6]"
奶妈-家长,"[92, 91, 79, 96, 78, 69, 80, 63]","[25, 57, 0, 25, 32, 41, 26, 10]","[54, 78, 40, 29, 28, 56, 61, 71]","[86, 37, 100, 85, 73, 93, 88, 16]","[93, 32, 100, 95, 75, 78, 64, 88]","[54, 6, 23, 47, 46, 76, 28, 59]","[46, 100, 21, 100, 74, 53, 62, 86]","[88, 85, 49, 100, 73, 74, 65, 94]","[45, 45, 16, 7, 21, 0, 86, 8]","[27, 78, 62, 19, 2, 62, 36, 56]","[83, 69, 79, 98, 86, 100, 91, 71]","[19, 20, 31, 78, 2, 9, 8, 66]","[76, 71, 90, 16, 53, 76, 20, 37]","[45, 73, 86, 22, 77, 75, 37, 54]","[84, 49, 34, 22, 7, 43, 17, 12]","[53, 77, 80, 81, 92, 100, 91, 56]","[9, 69, 37, 20, 29, 11, 0, 19]","[19, 78, 14, 80, 2, 64, 43, 30]","[63, 67, 58, 23, 82, 15, 41, 30]","[73, 68, 77, 62, 72, 2, 19, 77]","[65, 37, 71, 43, 69, 4, 49, 9]","[69, 53, 62, 54, 13, 2, 18, 22]","[59, 60, 72, 46, 29, 51, 63, 89]","[26, 79, 64, 53, 74, 4, 59, 89]","[6, 64, 17, 0, 66, 2, 15, 49]","[77, 80, 53, 53, 79, 43, 60, 29]","[13, 2, 15, 39, 0, 12, 0, 3]","[90, 96, 79, 100, 95, 75, 92, 88]","[79, 2, 33, 30, 91, 84, 11, 83]","[61, 89, 17, 90, 39, 93, 100, 90]","[18, 14, 22, 41, 15, 17, 15, 72]","[9, 28, 38, 0, 11, 79, 13, 92]","[80, 87, 88, 83, 59, 53, 100, 92]","[75, 90, 51, 48, 86, 56, 51, 31]","[8, 31, 18, 75, 2, 22, 0, 3]"
