,Age,Gender,Race,Race_alternative,Highest education,First language,Highest education_label,Gender_label
576,44,1,1,,6,English,Short-cycle tertiary education,female
577,48,1,1,,6,English,Short-cycle tertiary education,female
578,82,1,1,,9,english,Doctoral or equivalent,female
579,38,2,1,,8,English ,Master or equivalent,male
580,57,2,1,,8,English,Master or equivalent,male
581,43,2,1,,8,English ,Master or equivalent,male
583,53,1,1,,4,English,Upper secondary education,female
584,52,1,1,,7,English ,Bachelor or equivalent,female
585,37,2,1,,7,English,Bachelor or equivalent,male
586,46,2,1,,5,English,Post-secondary non-tertiary education,male
587,27,1,1,,4,English,Upper secondary education,female
588,44,1,6,Southeast Asian (Filipino),6,Tagalog,Short-cycle tertiary education,female
589,33,2,1,,7,English,Bachelor or equivalent,male
590,31,2,1,,8,English,Master or equivalent,male
591,31,1,1,,7,English,Bachelor or equivalent,female
592,45,1,1,,7,English,Bachelor or equivalent,female
593,20,1,4,,4,English,Upper secondary education,female
594,26,1,1,,7,English,Bachelor or equivalent,female
595,39,1,4,,8,english,Master or equivalent,female
596,23,2,6,South East Asian,7,English,Bachelor or equivalent,male
597,23,2,4,,7,English,Bachelor or equivalent,male
598,21,2,4,,4,english,Upper secondary education,male
599,37,2,1,,6,English,Short-cycle tertiary education,male
600,28,2,4,,7,Mandarin,Bachelor or equivalent,male
601,43,1,1,,6,English,Short-cycle tertiary education,female
