,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label
565,26,Female,White,,Post-secondary non-tertiary education,English ,Female
566,23,Female,White,,Primary education,Spanish/English,Female
567,35,Female,"Arabic, Central Asian",,Bachelor or equivalent,English,Female
568,31,Female,White,,Bachelor or equivalent,English,Female
569,35,Female,Other (write in),White/Hispanic,Primary education,English,Female
570,31,Female,White,,Bachelor or equivalent,English,Female
571,24,Female,White,,Upper secondary education,English,Female
572,40,Female,White,,Post-secondary non-tertiary education,English,Female
573,22,Female,Black,,Post-secondary non-tertiary education,English,Female
574,21,Male,Black,,Post-secondary non-tertiary education,English,Male
575,33,Male,White,,Bachelor or equivalent,English,Male
576,27,Female,White,,Bachelor or equivalent,English,Female
577,23,Female,White,,Post-secondary non-tertiary education,English,Female
578,41,Female,Other (write in),human,Bachelor or equivalent,spanish,Female
579,56,Female,White,,Master or equivalent,English ,Female
580,31,Female,White,,Master or equivalent,English,Female
581,38,Female,White,,Lower secondary education,English ,Female
582,52,Female,White,,Short-cycle tertiary education,english,Female
583,55,Female,White,,Don't know/No answer,English,Female
584,67,Male,White,,Bachelor or equivalent,English,Male
585,34,Female,White,,Post-secondary non-tertiary education,English,Female
586,26,Female,Black,,Upper secondary education,English,Female
587,64,Male,White,,Master or equivalent,English,Male
588,35,Male,White,,Bachelor or equivalent,English,Male
589,35,Female,White,,Don't know/No answer,english,Female
591,28,Female,White,,Bachelor or equivalent,English,Female
592,53,Female,White,,Master or equivalent,English,Female
593,25,Female,White,,Master or equivalent,English,Female
594,53,Female,Black,,Bachelor or equivalent,English,Female
595,45,Female,White,,Post-secondary non-tertiary education,English,Female
596,55,Female,White,,Post-secondary non-tertiary education,English,Female
597,59,Male,White,,Upper secondary education,English ,Male
598,33,Female,White,,Short-cycle tertiary education,English ,Female
599,38,Female,White,,Master or equivalent,English ,Female
600,35,Female,White,,Post-secondary non-tertiary education,english,Female
601,36,Female,Black,,Bachelor or equivalent,English,Female
602,30,Female,White,,Bachelor or equivalent,English,Female
603,27,Female,White,,Post-secondary non-tertiary education,English,Female
604,21,Female,White,,Bachelor or equivalent,English,Female
605,28,Male,White,,Post-secondary non-tertiary education,english,Male
606,35,Female,White,,Lower secondary education,English,Female
607,21,Male,White,,Short-cycle tertiary education,English,Male
608,30,Female,White,,Upper secondary education,English,Female
609,42,Male,White,,Bachelor or equivalent,English,Male
610,42,Female,Black,,Primary education,english,Female
611,76,Male,Black,,Bachelor or equivalent,English,Male
612,65,Female,White,,Upper secondary education,english,Female
614,41,Female,White,,Master or equivalent,English (US),Female
615,54,Female,Black,,Master or equivalent,English ,Female
616,30,Female,White,,Bachelor or equivalent,english,Female
617,44,Female,White,,Bachelor or equivalent,English,Female
618,70,Female,White,,Upper secondary education,English,Female
619,34,Female,White,,Upper secondary education,Spanish,Female
620,22,Female,Black,,Bachelor or equivalent,english,Female
622,29,Male,Other (write in),Hispanic,Don't know/No answer,Entglish,Male
624,30,Male,White,,Post-secondary non-tertiary education,English,Male
625,73,Female,White,,Doctoral or equivalent,English,Female
626,31,Female,White,,Upper secondary education,English,Female
627,50,Female,White,,Bachelor or equivalent,english,Female
628,22,Male,White,,Bachelor or equivalent,English,Male
